bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
P36_task-rl_run-1_bold	0.000428789	0.00975677	1	20.84312372	1.139344878	0.971515755	0.378538373	25918.58984	0.165314146	156	37.05463183	2.456379502	2.203806227	2.693012279	2.47232	0.015471	-0.014946422	0.027478466	421	82	82	56	5.461328988	1	3.024390221	3.024390221	3	38.91514651	1.993237257	10.05411148	2.249406338	282234	0.624703109	47.60653324	23.4166851	4.991268411	46.66147614	362.7826538	368.9049988	43824	243.1846878	451.3559662	67.54780579	65.64426422
P36_task-rl_run-2_bold	0.005614608	0.012067208	1	20.12948785	1.110735502	0.962680653	0.37731725	25578.94141	0.156179764	118	28.02850356	2.483378158	2.235412598	2.722171876	2.49255	0.0339585	-0.014473851	0.024076052	421	82	82	56	5.419125999	1	3.024390221	3.024390221	3	42.51423708	2.010845184	9.962902069	2.268408537	282308	0.634204328	47.07838821	23.51992989	4.862366271	46.98900604	362.9212952	369.2826843	43787	240.6520309	452.6667664	68.14354706	58.96239471
P36_task-rl_run-3_bold	0.001679169	0.009140081	1	21.58449237	1.200120085	1.001200449	0.37800564	25262.19922	0.150206211	112	26.60332542	2.475948212	2.234483485	2.71160115	2.48176	0.0337163	-0.014740274	0.024786435	421	82	82	56	5.363557701	1	3.024390221	3.024390221	3	41.21667238	2.014367104	10.03799057	2.28028512	282210	0.646080792	47.33491898	23.59952927	4.929544608	46.87630081	362.0247498	368.7909851	43863	236.4997803	451.0425476	68.75786591	66.89450073
P36_task-rl_run-4_bold	0.000452423	0.01139562	1	21.37514969	1.150322435	0.963075376	0.377943507	25055.08203	0.15536642	124	29.45368171	2.476071124	2.235716791	2.718723247	2.473773333	0.0185166	-0.014575458	0.024044311	421	82	82	56	5.434860093	1	3.024390221	3.024390221	3	40.55866446	2.039018154	9.993364334	2.28503561	282224	0.629453719	47.06579685	23.43476868	4.924212133	46.57519531	361.4171448	367.7862244	43856	239.6134338	449.9441986	67.67092896	61.37338638
P36_task-rest_bold	0.000676351	0.009539904	0	22.08991406	1.219446583	0.998695145	0.379082169	24625.91211	0.15089192	171	28.88513514	2.453313893	2.219673888	2.693974456	2.446293333	0.0234465	-0.014985589	0.024261165	592	82	82	56	5.497635822	1	3.024390221	3.024390221	3	38.6998255	2.056108952	10.16881466	2.309121609	282253	0.648648679	48.13919144	23.66426086	4.974616857	46.7558136	362.1192017	368.1967773	43802	245.4051636	450.947464	66.97289276	64.06716919
P89_task-rl_run-1_bold	0.001629454	0.026806167	1	51.63573605	1.181504186	0.983574721	0.405260994	13581.66504	0.681863988	381	90.49881235	2.568105936	2.293930179	2.807564296	2.602823333	0.00857574	-0.022848908	0.027386501	421	82	82	56	4.88214393	1	3.024390221	3.024390221	3	34.38705824	2.475699425	10.45614433	2.296912193	279106	0.370546341	49.55047703	22.15592384	3.728215168	38.32578659	267.7155457	273.4940796	46086	158.1502457	342.9067917	56.01865005	34.65752792
P89_task-rl_run-2_bold	0.002247625	0.032084118	1	50.60356349	1.16871689	0.995051668	0.409176862	12243.62402	0.633881687	374	88.83610451	2.643468598	2.358534937	2.888757522	2.683113333	0.00580548	-0.023929475	0.032708567	421	82	82	56	4.748265034	1	3.024390221	3.024390221	3	31.47677806	2.732777596	10.90278625	2.425178289	278353	0.346793354	50.30166473	22.26032448	3.460382603	38.13033676	264.6435242	270.83255	46674	149.7406189	341.2759094	57.03760147	30.44320679
P89_task-rl_run-3_bold	0.001458812	0.023853514	1	52.22842734	1.220355206	0.989510006	0.407691713	13567.33008	0.587121512	370	87.88598575	2.557008409	2.29648276	2.793849134	2.580693333	0.0103029	-0.023534684	0.034501433	421	82	82	56	4.7841328	1	3.024390221	3.024390221	3	35.00231223	2.436961651	10.57086563	2.244655609	278897	0.358669847	48.89073944	22.02335358	3.64799288	38.2377739	265.4803772	271.5605774	46295	151.9410995	341.7520386	56.762146	36.57629395
P89_task-rl_run-4_bold	0.002829882	0.025181141	0	53.15581629	1.230945756	1.017816654	0.407443583	13080.99121	0.65393089	383	90.75829384	2.572764484	2.307294856	2.809905264	2.601093333	0.00789095	-0.023446519	0.029222848	422	82	82	56	4.759262288	1	3.024390221	3.024390221	3	32.86924951	2.49793911	10.67921829	2.317535639	278945	0.364928931	50.62559509	22.37351608	3.73643322	38.20161057	266.0951843	272.2772827	46280	151.279277	342.3366348	57.20935822	35.38045502
P89_task-rest_bold	0.004778395	0.031924143	0	49.30124168	1.196944251	1.017064327	0.407443707	12864.69141	0.644701192	509	85.97972973	2.645765237	2.362631631	2.893280748	2.681383333	0.0157798	-0.022660613	0.03201599	592	82	82	56	4.757964961	1	3.024390221	3.024390221	3	31.60445051	2.654659271	10.83460903	2.393581152	278687	0.364864886	50.79391861	22.4502697	3.442937152	38.55265808	265.8639526	272.1824341	46434	151.1498329	343.2562515	57.20502472	29.54578972
P53_task-rl_run-1_bold	0.00300673	0.017823341	0	25.00198545	1.149030391	0.941582254	0.367861844	28403.01563	0.172466078	113	26.77725118	2.432295147	2.248076308	2.612219133	2.43659	0.0167744	-0.014302922	0.01839323	422	82	82	56	5.192197439	1	3.024390221	3.024390221	3	59.0080466	1.781230688	8.178896904	1.959715724	283432	0.528436065	32.64929199	20.92847824	5.201366873	43.81757355	331.4894714	335.8021545	42622	222.6450256	419.888652	64.67362213	46.59497452
